key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc102,102,The Gearheads,1998,08876,114.0,39.0,New Jersey,2016,2016mar,1459.0,89242,"(40.59, -74.66)","[[40.58528099999999, -75.35740299999999, '2016-04-13', '2016-04-16'], [40.4174592, -74.7064384, '2016-04-08', '2016-04-10'], [39.8573487, -74.717578, '2016-03-18', '2016-03-20']]","[36.687285255530746, 12.153921196063193, 50.64193374677191]",99.48314019836585,33.16104673278861
frc103,103,Cybersonics,1997,18930,45.0,69.0,Pennsylvania,2016,2016mar,122.0,83438,"(40.54, -75.22)","[[40.4174592, -74.7064384, '2016-04-08', '2016-04-10'], [40.06155810000001, -75.20953469999999, '2016-03-18', '2016-03-20'], [39.9483, -75.53830599999999, '2016-04-01', '2016-04-03']]","[28.34919589721099, 33.01583691086481, 44.15797997826793]",105.52301278634374,35.174337595447916
frc1089,1089,Team Mercury,2003,08520,191.0,10.0,New Jersey,2016,2016mar,1581.0,90293,"(40.25, -74.54)","[[40.58528099999999, -75.35740299999999, '2016-04-13', '2016-04-16'], [40.4174592, -74.7064384, '2016-04-08', '2016-04-10'], [39.8573487, -74.717578, '2016-03-18', '2016-03-20']]","[48.92206596105128, 14.51674037323445, 28.68015192123632]",92.11895825552205,30.70631941850735
frc11,11,MORT,1997,07836,142.0,26.0,New Jersey,2016,2016mar,787.0,100529,"(40.85, -74.71)","[[40.58528099999999, -75.35740299999999, '2016-04-13', '2016-04-16'], [40.858616, -74.713984, '2016-03-04', '2016-03-06'], [40.06155810000001, -75.20953469999999, '2016-03-18', '2016-03-20']]","[38.586840900991206, 0.6301167432989965, 60.43784906325505]",99.65480670754525,33.218268902515085
frc1143,1143,Cruzin' Comets,2003,18411,155.0,21.0,Pennsylvania,2016,2016mar,405.0,70405,"(41.4, -75.7)","[[40.58528099999999, -75.35740299999999, '2016-04-13', '2016-04-16'], [40.858616, -74.713984, '2016-03-04', '2016-03-06'], [39.9483, -75.53830599999999, '2016-04-01', '2016-04-03']]","[59.00470438755273, 63.580273743306705, 100.52938784567667]",223.1143659765361,74.37145532551203
frc1168,1168,Malvern Robotics,2003,19355,20.0,99.0,Pennsylvania,2016,2016mar,646.0,109706,"(40.04, -75.53)","[[40.06155810000001, -75.20953469999999, '2016-03-18', '2016-03-20'], [39.9483, -75.53830599999999, '2016-04-01', '2016-04-03']]","[17.056663861220205, 6.342052726867213]",23.398716588087417,11.699358294043709
frc1218,1218,SCH Robotics,2003,19118,208.0,8.0,Pennsylvania,2016,2016mar,3075.0,77271,"(40.07, -75.21)","[[40.58528099999999, -75.35740299999999, '2016-04-13', '2016-04-16'], [40.1977406, -75.1635218, '2016-03-04', '2016-03-06'], [40.06155810000001, -75.20953469999999, '2016-03-18', '2016-03-20'], [39.9483, -75.53830599999999, '2016-04-01', '2016-04-03']]","[36.395268867860615, 9.15074768218676, 0.582966779134923, 19.336196267609104]",65.4651795967914,16.36629489919785
frc1228,1228,RoboTribe,2003,07065,17.0,107.0,New Jersey,2016,2016mar,7017.0,58101,"(40.61, -74.28)","[[40.858616, -74.713984, '2016-03-04', '2016-03-06'], [40.4174592, -74.7064384, '2016-04-08', '2016-04-10'], [39.8573487, -74.717578, '2016-03-18', '2016-03-20']]","[28.516420827863634, 26.09230280302478, 56.85200981309681]",111.46073344398522,37.15357781466174
frc1257,1257,Parallel Universe,2004,07076,233.0,6.0,New Jersey,2016,2016mar,2609.0,109872,"(40.64, -74.37)","[[40.58528099999999, -75.35740299999999, '2016-04-13', '2016-04-16'], [40.59299619999999, -74.63451490000001, '2016-04-01', '2016-04-03'], [40.858616, -74.713984, '2016-03-04', '2016-03-06']]","[52.058467123481, 14.281606052051448, 23.52451671951378]",89.86458989504624,29.954863298348744
frc1279,1279,Cold Fusion,2004,08876,58.0,61.0,New Jersey,2016,2016mar,1459.0,89242,"(40.59, -74.66)","[[40.58528099999999, -75.35740299999999, '2016-04-13', '2016-04-16'], [40.59299619999999, -74.63451490000001, '2016-04-01', '2016-04-03'], [40.858616, -74.713984, '2016-03-04', '2016-03-06'], [39.8573487, -74.717578, '2016-03-18', '2016-03-20']]","[36.687285255530746, 1.35638029268568, 18.750545530522558, 50.64193374677191]",107.4361448255109,26.859036206377723
